Units,scenario,region,subsector,technology,output,year,value
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2055,0.0163707
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2060,0.0227033
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2065,0.0306158
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2070,0.0401063
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2075,0.0514193
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2080,0.0631738
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2085,0.0749877
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2090,0.0884331
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2095,0.101771
EJ,Reference,Pakistan,nuclear,Gen_III,electricity,2100,0.114522
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,1990,0.00105486
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2005,0.00894161
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2010,0.0123125
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2015,0.0165798
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2021,0.055247
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2025,0.053698
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2030,0.0510537
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2035,0.0473638
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2040,0.0424102
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2045,0.0361945
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2050,0.0290908
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2055,0.0221712
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2060,0.0159691
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2065,0.0109287
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2070,0.00718802
EJ,Reference,Pakistan,nuclear,Gen_II_LWR,electricity,2075,0.00459497
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2025,0.00426741
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2030,0.0170764
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2035,0.0362297
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2040,0.0788187
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2045,0.134215
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2050,0.173646
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2055,0.176655
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2060,0.233095
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2065,0.277492
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2070,0.314292
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2075,0.341086
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2080,0.346143
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2085,0.330428
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2090,0.307714
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2095,0.274
EJ,Reference,Pakistan,refined liquids,refined liquids (CC),electricity,2100,0.262073
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,1990,0.0278945
EJ,Reference,Pakistan,refined liquids,refined liquids (steam/CT),electricity,2005,0.0679188
